Date,Time,Pump Temp
1/1/2015,0,170.47
1/1/2015,60,194.97
1/1/2015,120,195.57
1/1/2015,180,195.85
1/1/2015,240,196.16
1/1/2015,300,195.46
1/1/2015,360,196.75
1/1/2015,420,195.92
1/1/2015,480,192.21
1/1/2015,540,192.11
1/1/2015,600,192.74
1/1/2015,660,193.42
1/1/2015,720,190.18
1/1/2015,780,193.66
1/1/2015,840,193.33
1/1/2015,900,189.76
1/1/2015,960,194.15
1/1/2015,1020,192.64
1/1/2015,1080,192.29
1/1/2015,1140,190.12
1/1/2015,1200,189.37
1/1/2015,1260,187.95
1/1/2015,1320,189.41
1/1/2015,1380,190.44
2/1/2015,0,189.32
2/1/2015,60,188.95
2/1/2015,120,189.43
2/1/2015,180,191.54
2/1/2015,240,193.1
2/1/2015,300,192.53
2/1/2015,360,184.18
2/1/2015,420,190.24
2/1/2015,480,189.36
2/1/2015,540,193.31
2/1/2015,600,195.27
2/1/2015,660,195.94
2/1/2015,720,194.58
2/1/2015,780,196.95
2/1/2015,840,194.6
2/1/2015,900,195.45
2/1/2015,960,193.76
2/1/2015,1020,194.97
2/1/2015,1080,194.98
2/1/2015,1140,194.38
2/1/2015,1200,194.47
2/1/2015,1260,195.88
2/1/2015,1320,194.89
2/1/2015,1380,195.69
3/1/2015,0,194.57
3/1/2015,60,192.05
3/1/2015,120,191.99
3/1/2015,180,191.79
3/1/2015,240,192.12
3/1/2015,300,194.73
3/1/2015,360,195.82
3/1/2015,420,182.62
3/1/2015,480,194.08
3/1/2015,540,193.99
3/1/2015,600,193.82
3/1/2015,660,193.67
3/1/2015,720,194.66
3/1/2015,780,194.42
3/1/2015,840,192.64
3/1/2015,900,192.89
3/1/2015,960,195.08
3/1/2015,1020,194.52
3/1/2015,1080,195.84
3/1/2015,1140,194
3/1/2015,1200,171.04
3/1/2015,1260,196.39
3/1/2015,1320,194.17
3/1/2015,1380,192.78
4/1/2015,0,194.02
4/1/2015,60,192.74
4/1/2015,120,195.15
4/1/2015,180,195.47
4/1/2015,240,194.59
4/1/2015,300,195.23
4/1/2015,360,195.05
4/1/2015,420,194.85
4/1/2015,480,193.93
4/1/2015,540,196.31
4/1/2015,600,195.76
